"","site_1","site_2","distance_km"
"1","LC","LC",0
"2","AU","LC",5.04988668956706
"3","MC","LC",8.44398278747404
"4","B","LC",17.7602380811918
"5","PF","LC",20.1016320956522
"6","C","LC",29.9928596214857
"7","SD","LC",13.7820674909358
"8","ARN","LC",20.8037187877513
"9","HP","LC",9.52172026311494
"10","CH","LC",36.6367712456711
"11","TC","LC",42.2401966054665
"12","D","LC",42.4064016452307
"13","LW","LC",11.6697186665856
"14","ARS","LC",20.1292304898798
"15","WW","LC",31.3719571468179
"16","LC","AU",5.04988668956706
"17","AU","AU",0
"18","MC","AU",13.301917928632
"19","B","AU",19.0702452977945
"20","PF","AU",23.7623443295874
"21","C","AU",33.9340440706413
"22","SD","AU",15.1669599140757
"23","ARN","AU",22.2224702151365
"24","HP","AU",9.41692903287817
"25","CH","AU",37.9697469254078
"26","TC","AU",43.8157295887031
"27","D","AU",43.8935735590812
"28","LW","AU",8.76390918861418
"29","ARS","AU",21.3979695786276
"30","WW","AU",27.3545907525107
"31","LC","MC",8.44398278747404
"32","AU","MC",13.301917928632
"33","MC","MC",0
"34","B","MC",15.786915162221
"35","PF","MC",13.2837190143448
"36","C","MC",22.3605255311105
"37","SD","MC",17.818276631118
"38","ARN","MC",23.8051248022321
"39","HP","MC",16.0579213377617
"40","CH","MC",38.7906486486555
"41","TC","MC",43.7982871870254
"42","D","MC",44.111139238413
"43","LW","MC",19.6879827640175
"44","ARS","MC",23.4306770844641
"45","WW","MC",39.6062950238397
"46","LC","B",17.7602380811918
"47","AU","B",19.0702452977945
"48","MC","B",15.786915162221
"49","B","B",0
"50","PF","B",11.4235998418392
"51","C","B",20.2999650926788
"52","SD","B",31.3334149387802
"53","ARN","B",38.1418155323266
"54","HP","B",27.1999733514485
"55","CH","B",53.7541439926378
"56","TC","B",59.0630293681575
"57","D","B",59.3151158831302
"58","LW","B",27.8341543508033
"59","ARS","B",37.5678703525391
"60","WW","B",45.17471309883
"61","LC","PF",20.1016320956522
"62","AU","PF",23.7623443295874
"63","MC","PF",13.2837190143448
"64","B","PF",11.4235998418392
"65","PF","PF",0
"66","C","PF",10.2957602656431
"67","SD","PF",31.0928453738511
"68","ARN","PF",36.853182247921
"69","HP","PF",29.0068737834645
"70","CH","PF",51.2634413795347
"71","TC","PF",55.8717626869479
"72","D","PF",56.2635280396193
"73","LW","PF",31.7499702382938
"74","ARS","PF",36.5514211580655
"75","WW","PF",51.1140281179718
"76","LC","C",29.9928596214857
"77","AU","C",33.9340440706413
"78","MC","C",22.3605255311105
"79","B","C",20.2999650926788
"80","PF","C",10.2957602656431
"81","C","C",0
"82","SD","C",39.6337863651675
"83","ARN","C",44.626282497303
"84","HP","C",38.4164108992389
"85","CH","C",57.825450520549
"86","TC","C",61.8145219182541
"87","D","C",62.3011857285937
"88","LW","C",41.6557426879048
"89","ARS","C",44.484443771753
"90","WW","C",61.2431492575714
"91","LC","SD",13.7820674909358
"92","AU","SD",15.1669599140757
"93","MC","SD",17.818276631118
"94","B","SD",31.3334149387802
"95","PF","SD",31.0928453738511
"96","C","SD",39.6337863651675
"97","SD","SD",0
"98","ARN","SD",7.10726889688888
"99","HP","SD",6.19250052661122
"100","CH","SD",22.956608818863
"101","TC","SD",28.7054051989391
"102","D","SD",28.8163410109969
"103","LW","SD",11.3339550722229
"104","ARS","SD",6.36566045900716
"105","WW","SD",27.6230267335511
"106","LC","ARN",20.8037187877513
"107","AU","ARN",22.2224702151365
"108","MC","ARN",23.8051248022321
"109","B","ARN",38.1418155323266
"110","PF","ARN",36.853182247921
"111","C","ARN",44.626282497303
"112","SD","ARN",7.10726889688888
"113","ARN","ARN",0
"114","HP","ARN",12.9782512961451
"115","CH","ARN",15.8565016193383
"116","TC","ARN",21.6054828346184
"117","D","ARN",21.7097379614501
"118","LW","ARN",17.2074654260247
"119","ARS","ARN",0.99654084781431
"120","WW","ARN",29.5345140996828
"121","LC","HP",9.52172026311494
"122","AU","HP",9.41692903287817
"123","MC","HP",16.0579213377617
"124","B","HP",27.1999733514485
"125","PF","HP",29.0068737834645
"126","C","HP",38.4164108992389
"127","SD","HP",6.19250052661122
"128","ARN","HP",12.9782512961451
"129","HP","HP",0
"130","CH","HP",28.594898184245
"131","TC","HP",34.4888871517736
"132","D","HP",34.5420474279781
"133","LW","HP",5.77466991902556
"134","ARS","HP",12.1020550051251
"135","WW","HP",24.7083554117085
"136","LC","CH",36.6367712456711
"137","AU","CH",37.9697469254078
"138","MC","CH",38.7906486486555
"139","B","CH",53.7541439926378
"140","PF","CH",51.2634413795347
"141","C","CH",57.825450520549
"142","SD","CH",22.956608818863
"143","ARN","CH",15.8565016193383
"144","HP","CH",28.594898184245
"145","CH","CH",0
"146","TC","CH",6.07690704525996
"147","D","CH",5.99472399390556
"148","LW","CH",31.9404093641724
"149","ARS","CH",16.6076991833736
"150","WW","CH",37.8532763147114
"151","LC","TC",42.2401966054665
"152","AU","TC",43.8157295887031
"153","MC","TC",43.7982871870254
"154","B","TC",59.0630293681575
"155","PF","TC",55.8717626869479
"156","C","TC",61.8145219182541
"157","SD","TC",28.7054051989391
"158","ARN","TC",21.6054828346184
"159","HP","TC",34.4888871517736
"160","CH","TC",6.07690704525996
"161","TC","TC",0
"162","D","TC",0.800467730055672
"163","LW","TC",37.9837303705217
"164","ARS","TC",22.4178785318934
"165","WW","TC",43.4273298697574
"166","LC","D",42.4064016452307
"167","AU","D",43.8935735590812
"168","MC","D",44.111139238413
"169","B","D",59.3151158831302
"170","PF","D",56.2635280396193
"171","C","D",62.3011857285937
"172","SD","D",28.8163410109969
